feature,score
timespan_mean,2962
timespan_last2,2766
timespan_first,2507
timespan_last,2474
timespan_last4,2470
click_6,2426
type1_time,2322
timespan_last3,2282
min_5_ts,2237
click_5,2189
click_1,1911
timespan_min,1703
timespan_last3_mean,1663
type5_time,1354
click_7,1117
min_6_ts,1057
mean_5_ts,948
lastType,881
type6_time,834
click_4,781
click_8,738
dist_to_5,728
timespan_last3_var,710
lastType3,660
max_5_ts,647
click_2,583
type4_time,575
type2_time,568
mean_rating,533
min_4_ts,527
min_2_ts,484
click_3,470
dist_to_8,451
mean_6_ts,443
type8_time,436
type3_time,417
ever_buy,410
min_8_ts,390
lastType2,367
min_3_ts,364
gender_missing,323
dist_to_9,316
click_9,308
firstType,297
max_8_ts,295
mean_8_ts,290
dist_to_3,265
province_北京,259
timespan_var,256
var_8_ts,254
mean_9_ts,250
var_5_ts,244
max_6_ts,235
province_上海,215
gender_男,213
gender_女,200
type7_time,192
var_6_ts,190
province_广东,190
province_江苏,185
type9_time,181
age_missing,152
province_辽宁,140
province_missing,137
var_9_ts,135
province_浙江,134
mean_7_ts,129
age_80后,111
mean_plus_var_9,102
age_90后,95
min_7_ts,88
age_70后,72
age_60后,67
province_湖北,59
max_7_ts,58
province_四川,50
var_7_ts,43
province_河北,34
province_天津,30
province_湖南,16
province_陕西,11
province_江西,9
province_福建,9
province_重庆,7
province_山西,5
province_山东,3
province_云南,3
province_河南,2
province_甘肃,1
province_安徽,1
province_广西,1
good,1
province_吉林,1
